chr10	50806881	50809893	A1CF_50807502	0.611072	-	621	0.073339
chr12	9099524	9101143	A2M_9100279	0.061633	-	755	0.0302625
chr12	125103082	125107120	AACS_125106392	0.05646	+	3310	0.0216771
chr12	125107269	125114476	AACS_125109838	0.134241	+	2569	0.0227654
chr12	125129461	125134002	AACS_125132452	0.36396	+	2991	0.029545
chr3	151734174	151740645	AADACL2_151736009	0.031386	+	1835	0.0397033
chr3	151740869	151744092	AADACL2_151741299	0.043932	+	430	0.0353866
chr4	170069231	170070586	AADAT_170069353	0.978306	-	122	0.0227513
chr2	69509461	69514470	AAK1_69510960	0.758405	-	1499	0.0800493
chr2	69520989	69525032	AAK1_69522332	0.084422	-	1343	0.0449097
chr2	69530707	69532040	AAK1_69531600	0.080302	-	893	0.0660795
chr20	36236783	36239820	AAR2_36238358	0.060901	+	1575	0.0682786
chr6	44307395	44310298	AARS2_44307928	0.01367	-	533	0.0549149
chr16	70259187	70261043	AARS_70260447	0.317614	-	1260	0.0288912
chr11	106090679	106091315	AASDHPPT_106091093	0.036219	+	414	0.0261745
chr4	56338792	56342834	AASDH_56342407	0.024158	-	3615	0.171578
chr4	56345291	56349262	AASDH_56346389	0.02038	-	1098	0.0462977
chr4	56350059	56351341	AASDH_56350624	0.014786	-	565	0.0713175
chr7	122116958	122118306	AASS_122117323	0.012444	-	365	0.0309599
chr17	36986732	36988518	AATF_36988418	0.985723	+	1686	0.130132
chr16	8750540	8757756	ABAT_8752000	0.020795	+	1460	0.0335459
chr17	69192654	69193109	ABCA10_69192901	0.143463	-	247	0.0230989
chr17	69219772	69221791	ABCA10_69221257	0.0831	-	1485	0.0136028
chr2	214976038	214978315	ABCA12_214976907	0.024808	-	869	0.250687
chr2	215018133	215019335	ABCA12_215018913	0.0216	-	780	0.291012
chr2	215049812	215052486	ABCA12_215050793	0.145773	-	981	0.142961
chr7	48246031	48248238	ABCA13_48247709	0.103401	+	1678	0.00726371
chr7	48279921	48281342	ABCA13_48280005	0.48504	+	84	0.00908234
chr7	48335536	48338364	ABCA13_48338183	0.050605	+	2647	0.0106262
chr7	48372498	48374346	ABCA13_48373531	0.017895	+	1033	0.0146726
chr7	48374417	48376440	ABCA13_48374700	0.074793	+	283	0.0419184
chr7	48483164	48489235	ABCA13_48484311	0.030409	+	1147	0.0352436
chr7	48508050	48511083	ABCA13_48510287	0.0802	+	2237	0.00750379
chr7	48516882	48520040	ABCA13_48517853	0.280193	+	971	0.0213024
chr7	48580375	48587153	ABCA13_48584459	0.230731	+	4084	0.0157092
chr16	2279131	2281026	ABCA3_2280551	0.256753	-	1420	0.00489921
chr16	2288330	2289433	ABCA3_2288394	0.031048	-	64	0.00821306
chr16	2300149	2303968	ABCA3_2302222	0.016678	-	2073	0.0384271
chr16	2324532	2326009	ABCA3_2325313	0.095467	-	781	0.0132329
chr1	94079462	94080477	ABCA4_94080154	0.05101	-	692	0.274808
