decoyID	species	max1	pos1	max2	pos2	d	clade	matched_common_name
ABI1_26752662	gadMor1	0.818186	26	0.427737	262	0.962468	Fish	Atlantic cod
PARD3_34564782	gadMor1	0.651359	49	0.465809	173	0.99442	Fish	Atlantic cod
CDH23_71731866	gadMor1	0.39413	23	0.303849	48	0.903564	Fish	Atlantic cod
ADD3_110125505	gadMor1	0.082384	60	0.300082	163	0.88625	Fish	Atlantic cod
USP47_11929875	gadMor1	0.604752	48	0.629116	196	0.11575	Fish	Atlantic cod
ARL2_65020323	gadMor1	0.081151	66	0.367632	119	0.927912	Fish	Atlantic cod
DDB2_47233138	gadMor1	0.001018	52	0.516687	218	0.815283	Fish	Atlantic cod
CRACR2A_3630041	gadMor1	0.89404	49	0.587097	322	0.897242	Fish	Atlantic cod
GALNT8_4724535	gadMor1	0.001005	8	0.636604	139	0.97435	Fish	Atlantic cod
PIK3C2G_18493764	gadMor1	0.108973	0	0.407637	183	0.876977	Fish	Atlantic cod
CCNT1_48716415	gadMor1	0.018465	49	0.714202	113	0.877391	Fish	Atlantic cod
LRP1_57176472	gadMor1	0.428404	53	0.570168	242	0.679552	Fish	Atlantic cod
SETD1B_121804388	gadMor1	0.058838	98	0.43779	362	0.187384	Fish	Atlantic cod
ATP8A2_25562090	gadMor1	0.106764	8	0.720478	221	0.898089	Fish	Atlantic cod
MBNL2_97343644	gadMor1	0.71604	45	0.39755	377	0.843509	Fish	Atlantic cod
ATP4B_113656008	gadMor1	0.050833	49	0.309901	293	0.859828	Fish	Atlantic cod
TUBGCP3_112561445	gadMor1	0.33456	92	0.435436	119	0.946528	Fish	Atlantic cod
PNN_39175521	gadMor1	2.6e-05	15	0.637214	116	0.730097	Fish	Atlantic cod
STYX_52755916	gadMor1	0.979589	48	0.989258	209	0.880564	Fish	Atlantic cod
PROX2_74861210	gadMor1	0.00388	37	0.668188	727	0.878817	Fish	Atlantic cod
SYT16_62083146	gadMor1	0.072881	62	0.519421	129	0.908081	Fish	Atlantic cod
DLL4_40934496	gadMor1	0.729845	48	0.641508	96	0.805491	Fish	Atlantic cod
PAK6_40268293	gadMor1	0.166852	75	0.635655	188	0.940107	Fish	Atlantic cod
TGM7_43281085	gadMor1	0.978498	49	0.321709	243	0.791345	Fish	Atlantic cod
DENND4A_65719472	gadMor1	0.938715	49	0.418054	226	0.946735	Fish	Atlantic cod
RP11-697E2.12_90295035	gadMor1	0.000253	36	0.83824	109	0.674541	Fish	Atlantic cod
CASKIN1_2183260	gadMor1	0.082651	74	0.384784	105	0.77847	Fish	Atlantic cod
LONP2_48347379	gadMor1	0.137465	32	0.419691	218	0.969766	Fish	Atlantic cod
MTSS1L_70678003	gadMor1	0.069839	49	0.327527	205	0.284289	Fish	Atlantic cod
CMIP_81516552	gadMor1	0.92197	48	0.330764	2318	0.974536	Fish	Atlantic cod
PLCG2_81935002	gadMor1	0.002711	45	0.588232	114	0.928233	Fish	Atlantic cod
MYH4_10456957	gadMor1	0.000823	72	0.388094	126	0.762322	Fish	Atlantic cod
BLMH_30290523	gadMor1	0.399243	49	0.439718	124	0.751199	Fish	Atlantic cod
DNAJC7_41995088	gadMor1	0.029541	49	0.559813	177	0.857951	Fish	Atlantic cod
KRT33A_41347638	gadMor1	0.014091	49	0.99794	232	0.386555	Fish	Atlantic cod
MED24_40027351	gadMor1	0.256491	85	0.999108	954	0.806666	Fish	Atlantic cod
CSNK1D_82245936	gadMor1	0.641021	49	0.617177	192	0.951369	Fish	Atlantic cod
CDH7_65861542	gadMor1	0.512223	67	0.510443	146	0.866044	Fish	Atlantic cod
RAB8A_16115694	gadMor1	0.421817	48	0.453886	162	0.969435	Fish	Atlantic cod
KMT2B_35722938	gadMor1	0.770368	58	0.33674	100	0.313846	Fish	Atlantic cod
VPS13D_12302613	gadMor1	0.202853	48	0.402178	114	0.96499	Fish	Atlantic cod
TNR_175392866	gadMor1	0.564644	49	0.331369	336	0.846862	Fish	Atlantic cod
CEP350_180000047	gadMor1	0.710882	5	0.335377	48	0.92211	Fish	Atlantic cod
MDM4_204528228	gadMor1	0.240269	48	0.47594	780	0.740577	Fish	Atlantic cod
ANGPT4_880089	gadMor1	0.046623	49	0.542015	103	0.906637	Fish	Atlantic cod
RRBP1_17615692	gadMor1	0.809455	1	0.461587	172	0.026966	Fish	Atlantic cod
ITCH_34478299	gadMor1	0.757967	48	0.434213	107	0.735424	Fish	Atlantic cod
TOP1_41089341	gadMor1	0.023605	50	0.460221	429	0.945297	Fish	Atlantic cod
DSCAM_40042711	gadMor1	0.126575	49	0.479892	143	0.825189	Fish	Atlantic cod
MCM3AP_46272262	gadMor1	0.177384	65	0.380244	128	0.919355	Fish	Atlantic cod
CAMKMT_44770665	gadMor1	0.034801	5	0.496128	280	0.943509	Fish	Atlantic cod
PPP4R3B_55569655	gadMor1	0.001167	86	0.661219	244	0.971667	Fish	Atlantic cod
HK2_74875977	gadMor1	0.615914	48	0.463646	68	0.883544	Fish	Atlantic cod
POLR1A_86043750	gadMor1	0.06872	63	0.438351	122	0.684476	Fish	Atlantic cod
ANAPC1_111865222	gadMor1	0.005669	0	0.807771	109	0.925641	Fish	Atlantic cod
COL4A3_227302793	gadMor1	0.047306	9	0.72488	425	0.835314	Fish	Atlantic cod
GIGYF2_232808604	gadMor1	0.056416	48	0.877346	102	0.927676	Fish	Atlantic cod
LRRFIP1_237755584	gadMor1	0.96323	48	0.413604	79	0.851351	Fish	Atlantic cod
SLC4A3_219637544	gadMor1	0.763823	66	0.517786	229	0.072848	Fish	Atlantic cod
CELSR3_48654603	gadMor1	0.006525	49	0.711336	100	0.765625	Fish	Atlantic cod
RAD54L2_51636486	gadMor1	0.22251	48	0.555117	118	0.773944	Fish	Atlantic cod
NAA50_113723169	gadMor1	0.254402	49	0.455018	187	0.174699	Fish	Atlantic cod
PHLDB2_111973960	gadMor1	0.167068	48	0.484996	123	0.270642	Fish	Atlantic cod
POLQ_121495369	gadMor1	0.004581	79	0.662691	499	0.742903	Fish	Atlantic cod
RABL3_120690526	gadMor1	0.339764	49	0.474288	106	0.925687	Fish	Atlantic cod
DNAJC13_132503071	gadMor1	0.785862	24	0.304872	579	0.219144	Fish	Atlantic cod
ADD1_2906633	gadMor1	0.519482	46	0.491055	139	0.931916	Fish	Atlantic cod
PDGFRA_54290201	gadMor1	0.000732	56	0.599119	137	0.880513	Fish	Atlantic cod
GAR1_109818706	gadMor1	0.694826	48	0.325915	208	0.589155	Fish	Atlantic cod
PPP3CA_101033922	gadMor1	0.02614	65	0.445201	145	0.92579	Fish	Atlantic cod
KIAA1109_122272081	gadMor1	0.708579	42	0.561954	89	0.020661	Fish	Atlantic cod
RNF175_153726670	gadMor1	0.015463	27	0.794257	135	0.965684	Fish	Atlantic cod
TBC1D9_140669858	gadMor1	0.001937	49	0.724713	119	0.821577	Fish	Atlantic cod
CDH9_26890019	gadMor1	0.694111	49	0.339499	135	0.520231	Fish	Atlantic cod
DNAJC21_34931760	gadMor1	0.198045	48	0.806827	149	0.935647	Fish	Atlantic cod
HEXB_74716366	gadMor1	0.972483	48	0.610418	345	0.626455	Fish	Atlantic cod
ADAM19_157493643	gadMor1	0.153969	49	0.337345	144	0.87163	Fish	Atlantic cod
CREBRF_173085084	gadMor1	0.181447	0	0.320508	174	0.892108	Fish	Atlantic cod
TENM2_168261733	gadMor1	0.822895	48	0.405738	117	0.764252	Fish	Atlantic cod
FOXF2_1393524	gadMor1	0.769061	97	0.377014	369	0.872035	Fish	Atlantic cod
PRRC2A_31627676	gadMor1	0.004884	43	0.902205	216	0.422764	Fish	Atlantic cod
DNAH8_38987850	gadMor1	0.002082	51	0.360492	132	0.945246	Fish	Atlantic cod
FOXP4_41584600	gadMor1	0.754661	30	0.485843	191	0.90098	Fish	Atlantic cod
TFAP2B_50821476	gadMor1	0.993429	48	0.576978	650	0.846308	Fish	Atlantic cod
FYN_111696927	gadMor1	0.357762	49	0.574767	234	0.88447	Fish	Atlantic cod
DNAH11_21746991	gadMor1	0.474401	47	0.322153	150	0.943899	Fish	Atlantic cod
SNX13_17833803	gadMor1	0.776107	49	0.350883	69	0.975996	Fish	Atlantic cod
TTYH3_2651590	gadMor1	0.103103	28	0.635926	125	0.865154	Fish	Atlantic cod
VWDE_12352677	gadMor1	0.454343	49	0.556775	201	0.935673	Fish	Atlantic cod
AKR1D1_138099061	gadMor1	0.103069	48	0.71893	194	0.977161	Fish	Atlantic cod
BMP1_22203211	gadMor1	0.909971	48	0.398316	212	0.930036	Fish	Atlantic cod
ENPP2_119619082	gadMor1	0.839278	49	0.414581	234	0.75882	Fish	Atlantic cod
RASEF_83008478	gadMor1	0.460678	49	0.407278	222	0.848901	Fish	Atlantic cod
PNPLA7_137493853	gadMor1	0.771749	49	0.559384	123	0.634317	Fish	Atlantic cod
