decoyID	species	max1	pos1	max2	pos2	d
ABI1_26767315	oryAfe1	0.043278	49	0.652677	125	0.375209
CDNF_14837155	oryAfe1	0.000174	4	0.459788	201	0.19146
PARD3_34564782	oryAfe1	1e-05	15	0.361164	1627	0.411128
CFAP58_104377262	oryAfe1	0.039616	27	0.42381	418	0.377827
DOCK1_126944196	oryAfe1	0.000144	91	0.471019	1228	0.63752
PNPLA2_820135	oryAfe1	0.015918	72	0.523234	194	0.338227
PTDSS2_454361	oryAfe1	0.026177	87	0.106381	156	0.976141
FOLH1_49199220	oryAfe1	0.00042	1	1e-06	27	0.995411
ANKRD49_94494657	oryAfe1	0.000825	48	0.690436	178	0.000382
MUC19_40500908	oryAfe1	0.004634	19	0.000152	60	0.916752
MUC19_40509271	oryAfe1	0.00043	18	1.4e-05	43	0.945652
HPD_121862226	oryAfe1	0.003808	44	0.631359	823	0.770791
SETD1B_121804388	oryAfe1	0.005031	37	0.928953	121	0.571429
ATP11A_112807741	oryAfe1	0.007097	73	0.007053	102	0.971422
PNN_39175521	oryAfe1	0.000497	27	0.797631	128	0.100971
PROX2_74861210	oryAfe1	0.00062	86	0.708981	613	0.196881
C14orf159_91162440	oryAfe1	0.011368	48	0.528686	179	0.642234
C14orf159_91170741	oryAfe1	0.002399	53	0.752179	163	0.681441
GANC_42309178	oryAfe1	0.006679	41	0.519653	212	0.448087
EFL1_82218857	oryAfe1	0.003753	79	0.204671	118	0.971517
CAPN15_528231	oryAfe1	0.011375	19	0.657679	257	0.670746
COQ7_19077828	oryAfe1	2e-05	21	1.2e-05	44	0.935099
TNRC6A_24730106	oryAfe1	0.00204	2	0.738974	104	0.536264
CMIP_81516552	oryAfe1	0.000502	68	0.386332	34205	0.415829
DNAAF1_84171817	oryAfe1	0.002185	51	0.001138	71	0.958504
ZNRF1_75096324	oryAfe1	0.014325	30	0.34687	264	0.399582
ATAD5_30889635	oryAfe1	0.047878	12	0.229568	134	0.724778
MED24_40027351	oryAfe1	0.006839	52	0.999479	7271	0.229992
CTD-2501B8.1_63507193	oryAfe1	0.012728	53	0.157304	128	0
PCTP_55773503	oryAfe1	0.026305	48	0.284203	384	0.304213
TEX2_64189322	oryAfe1	0.047695	98	0.228363	336	0.571841
WDR7_56743213	oryAfe1	0	52	0.233615	5022	0.321203
INPP5B_37874237	oryAfe1	0.037334	49	0.891244	117	0.534356
NFIA_61365832	oryAfe1	1e-06	35	0.072477	10920	0.160968
SNX27_151620045	oryAfe1	1e-06	30	0.100225	3523	0.418635
DHX35_39018157	oryAfe1	0.001138	38	0.916992	263	0.776417
ZC3H7B_41350095	oryAfe1	0.018697	23	0.785452	276	0.058925
M1AP_74647274	oryAfe1	3.9e-05	15	0.519396	146	0.63517
ARHGAP15_143603729	oryAfe1	0.008576	63	0.077234	823	0.221067
STAT1_191011600	oryAfe1	0.026653	10	0.318716	112	0.342673
TRAF3IP1_238344180	oryAfe1	0.016707	73	0.431653	215	0.813403
QTRT2_114060283	oryAfe1	0.005788	45	0.983757	217	0.49407
MAEA_1325045	oryAfe1	0.007356	87	0.748172	359	0.841647
ARL9_56508662	oryAfe1	0.021469	98	0.750093	665	0.607966
STIM2_26961145	oryAfe1	1e-06	83	0.511942	2091	0.40922
ADCY2_7711218	oryAfe1	0.000826	48	0.000493	69	0.972135
PAPD7_6740919	oryAfe1	0.029102	45	0.010999	110	0.930007
AGXT2_35039648	oryAfe1	0.001174	59	0.000159	81	0.926457
DAB2_39394151	oryAfe1	0.049731	9	0.346259	464	0.19322
WDR70_37697617	oryAfe1	0.000102	70	0.082545	7434	0.747342
ARHGEF28_73776226	oryAfe1	0.025848	5	0.07881	118	0.099367
FBN2_128645900	oryAfe1	0.029691	49	0.692195	140	0.306098
