decoyID	species	max1	pos1	max2	pos2	d
ACBD5_27211797	oryAfe1	0.723132	49	0.351837	72	0.65971
ANKRD26_27026002	oryAfe1	0.648953	38	0.008448	75	0.939422
ITIH2_7733971	oryAfe1	0.571626	48	0.287722	72	0.581597
MYO3A_26017146	oryAfe1	0.887638	48	0.038141	74	0.220404
UPF2_11943592	oryAfe1	0.822306	49	0.22209	76	0.414607
ABLIM1_114473162	oryAfe1	0.685326	49	0.138293	72	0.056805
LGR4_27383658	oryAfe1	0.683517	49	0.012285	70	0.176768
TRHDE_72653681	oryAfe1	0.516093	48	0.500415	72	0.033859
NFYB_104121613	oryAfe1	0.981138	49	0.00333	77	0.784324
BRCA2_32325889	oryAfe1	0.907192	48	0.333203	78	0.315271
ZC3H13_45957695	oryAfe1	0.828965	49	0.159324	71	0.672504
ATP11A_112807741	oryAfe1	0.015565	30	0.006113	73	0.960443
NIN_50738723	oryAfe1	0.954847	49	0.072714	79	0.083036
DLK1_100732288	oryAfe1	0.92632	51	0.27747	76	0.182171
UNC79_93579817	oryAfe1	0.637103	48	0.248457	79	0.501832
AQR_34904653	oryAfe1	0.723789	49	0.02964	73	0.354537
ATP10A_25722028	oryAfe1	0.529209	49	0.46566	72	0.296154
CHD2_93023486	oryAfe1	0.802862	48	0.047741	70	0.400522
PHKB_47497985	oryAfe1	0.825195	48	0.00742	74	0.180896
CNTNAP4_76556848	oryAfe1	0.718902	48	0.189447	79	0.140141
CBLC_44779829	oryAfe1	0.781673	48	0.739011	76	0.703935
SLC7A9_32858645	oryAfe1	0.941	49	0.001687	72	0.725645
VPS13D_12311354	oryAfe1	0.59428	48	0.364782	79	0.50292
WDR47_109013594	oryAfe1	0.80589	49	0.349598	70	0.686628
RABGAP1L_174220435	oryAfe1	0.958612	48	0.014035	72	0.191549
RALGAPB_38554596	oryAfe1	0.62503	48	0.488463	71	0.327311
C21orf91_17796171	oryAfe1	0.983745	49	0.135242	70	0.289362
PI4KA_20810796	oryAfe1	0.969108	49	0.51556	79	0.80926
ALG12_49911155	oryAfe1	0.546856	49	0.000204	77	0.951321
SELENOO_50212683	oryAfe1	0.918461	48	0.001017	75	0.957586
TUBGCP6_50241736	oryAfe1	0.862447	49	0.309216	75	0.885217
RNF144A_7014624	oryAfe1	0.557832	48	0.118458	71	0.007937
ADD2_70688560	oryAfe1	0.805714	49	0.07531	72	0.256698
CPO_206966310	oryAfe1	0.962108	48	0.043444	79	0.104228
USP4_49300763	oryAfe1	0.868722	49	0.027384	74	0.302624
SLMAP_57861006	oryAfe1	0.295283	48	0.216044	79	0.194536
ABCE1_145111189	oryAfe1	0.58069	48	0.093384	70	0.263158
ACSL1_184767818	oryAfe1	0.753096	49	0.067195	73	0.586248
PALLD_168914498	oryAfe1	0.896603	48	0.284784	74	0.186105
LPCAT1_1460808	oryAfe1	0.498652	2	0.369454	79	0.738462
SLC12A7_1052488	oryAfe1	0.898062	49	0.113447	77	0.536145
REV3L_111380991	oryAfe1	0.831116	49	0.459231	73	0.527409
SLC35F1_118267452	oryAfe1	0.906272	48	0.218147	71	0.570273
KIF25_168042274	oryAfe1	0.001398	48	4e-04	71	0.848425
PTPRZ1_122019023	oryAfe1	0.835963	48	0.256167	77	0.135758
TCAF1_143854545	oryAfe1	0.553791	49	0.49449	75	0.176374
UBE3C_157179225	oryAfe1	0.472473	48	0.007312	72	0.238714
COL22A1_138752021	oryAfe1	0.959219	49	0.180509	73	0.629006
SCRIB_143799564	oryAfe1	0.862945	46	0.384664	75	0.517419
ADAMTSL1_18684633	oryAfe1	0.758144	48	0.059818	71	0.072855
MVB12B_126381635	oryAfe1	0.962332	48	0.019421	78	0.223538
OTC_38405810	oryAfe1	0.879877	21	0.054199	70	0.923137
JADE3_47055273	oryAfe1	0.896269	48	0.220959	70	0.035438
FLNA_154353860	oryAfe1	0.848056	49	0.020641	79	0.171329
TKTL1_154315039	oryAfe1	0.578349	48	0.489114	71	0.55004
ACBD5_27211797	vicPac2	0.616193	49	0.506407	72	0.826011
MYO3A_26017146	vicPac2	0.910235	48	0.529093	77	0.234644
UPF2_11943592	vicPac2	0.94003	49	0.098887	75	0.307416
BLNK_96205894	vicPac2	0.888678	49	0.104831	71	0.062174
CYP2C8_95038600	vicPac2	0.729248	49	0.033642	72	0.67497
NT5C2_103093442	vicPac2	0.921993	49	0.178289	77	0.032852
GPAM_112160314	vicPac2	0.856719	49	0.314851	77	0.004622
SWAP70_9749680	vicPac2	0.841886	48	0.013582	73	0.462131
CSTF3_33091065	vicPac2	0.929865	49	0.003967	78	0.188794
TCIRG1_68048792	vicPac2	0.928219	48	0.078816	79	0.559204
FRY_32290428	vicPac2	0.732746	48	0.052357	72	0.440822
SYNE2_64063003	vicPac2	0.873555	48	0.008912	71	0.648956
SYNE2_64145203	vicPac2	0.497569	48	0.12691	73	0.274572
GOLGA5_92803595	vicPac2	0.827301	48	0.269402	77	0.611996
AQR_34904653	vicPac2	0.553427	49	0.041861	75	0.308232
CYFIP1_22932368	vicPac2	0.86531	49	0.364925	72	0.421795
RAD51_40706739	vicPac2	0.724625	48	0.180769	73	0.771297
MGRN1_4682677	vicPac2	0.8853	48	0.387337	71	0.601747
TMC7_19014387	vicPac2	0.742571	48	0.526995	72	0.960746
CDH8_61821564	vicPac2	0.819884	49	0.048999	71	0.122342
NAE1_66818261	vicPac2	0.820743	49	0.088449	78	0.300263
DNAAF1_84155506	vicPac2	0.679227	48	0.041729	78	0.763307
BAHCC1_81460782	vicPac2	0.87504	48	0.009533	75	0.244186
LAMA3_23750822	vicPac2	0.730335	48	0.224111	75	0.151701
CBLC_44779829	vicPac2	0.937258	48	0.111398	72	0.830085
MCOLN2_84936339	vicPac2	0.876428	49	0.339583	79	0.152586
C20orf194_3287163	vicPac2	0.899117	49	0.371372	72	0.428236
