locus_id	chrom	start	end	gene	splice_score	strand	flag	recount_sources
KLHL17_964347	chr1	964347	964348	KLHL17	0.063502	+	1	GTEX,SRA,TCGA
AGRN_1042747	chr1	1042747	1042748	AGRN	0.025351	+	1	GTEX,SRA,TCGA
DVL1_1339812	chr1	1339812	1339813	DVL1	0.020732	-	1	GTEX,SRA,TCGA
CCDC27_3753202	chr1	3753202	3753203	CCDC27	0.107973	+	1	GTEX,SRA,TCGA
DFFB_3869603	chr1	3869603	3869604	DFFB	0.382597	+	1	GTEX,SRA,TCGA
ESPN_6446379	chr1	6446379	6446380	ESPN	0.183238	+	1	GTEX,SRA,TCGA
GPR157_9105481	chr1	9105481	9105482	GPR157	0.018175	-	1	GTEX,SRA,TCGA
CLSTN1_9740657	chr1	9740657	9740658	CLSTN1	0.004447	-	1	GTEX,SRA,TCGA
PGD_10417350	chr1	10417350	10417351	PGD	0.010296	+	1	GTEX,SRA,TCGA
C1orf127_10957193	chr1	10957193	10957194	C1orf127	0.065931	-	1	GTEX,SRA,TCGA
CLCN6_11822933	chr1	11822933	11822934	CLCN6	0.070673	+	1	GTEX,SRA,TCGA
MIIP_12021643	chr1	12021643	12021644	MIIP	0.041673	+	1	GTEX,SRA,TCGA
VPS13D_12319495	chr1	12319495	12319496	VPS13D	0.451706	+	1	GTEX,SRA,TCGA
VPS13D_12342660	chr1	12342660	12342661	VPS13D	0.312797	+	1	GTEX,SRA,TCGA
PADI1_17228623	chr1	17228623	17228624	PADI1	0.067819	+	1	GTEX,SRA,TCGA
RCC2_17416210	chr1	17416210	17416211	RCC2	0.512773	-	1	GTEX,SRA,TCGA
ARHGEF10L_17639312	chr1	17639312	17639313	ARHGEF10L	0.008343	+	1	GTEX,SRA,TCGA
ARHGEF10L_17639453	chr1	17639453	17639454	ARHGEF10L	0.170752	+	1	GTEX,SRA,TCGA
VWA5B1_20323272	chr1	20323272	20323273	VWA5B1	0.170354	+	1	GTEX,SRA,TCGA
USP48_21756828	chr1	21756828	21756829	USP48	0.016881	-	1	GTEX,SRA,TCGA
ZBTB40_22510225	chr1	22510225	22510226	ZBTB40	0.050976	+	1	GTEX,SRA,TCGA
EPHA8_22573175	chr1	22573175	22573176	EPHA8	0.234789	+	1	GTEX,SRA,TCGA
EPHA8_22601298	chr1	22601298	22601299	EPHA8	0.012532	+	1	GTEX,SRA,TCGA
PNRC2_23960086	chr1	23960086	23960087	PNRC2	0.139513	+	1	GTEX,SRA,TCGA
IL22RA1_24124047	chr1	24124047	24124048	IL22RA1	0.093576	-	1	GTEX,SRA,TCGA
PPP1R8_27831369	chr1	27831369	27831370	PPP1R8	0.061825	+	1	GTEX,SRA,TCGA
RAB42_28592749	chr1	28592749	28592750	RAB42	0.088595	+	2	GTEX,SRA,TCGA
TMEM54_32897775	chr1	32897775	32897776	TMEM54	0.351227	-	1	GTEX,SRA,TCGA
PHC2_33327347	chr1	33327347	33327348	PHC2	0.202087	-	1	GTEX,SRA,TCGA
CSMD2_33523069	chr1	33523069	33523070	CSMD2	0.103667	-	1	GTEX,SRA,TCGA
GJB3_34784261	chr1	34784261	34784262	GJB3	0.050667	+	1	GTEX,SRA,TCGA
ZMYM1_35099841	chr1	35099841	35099842	ZMYM1	0.047155	+	2	GTEX,SRA,TCGA
THRAP3_36287870	chr1	36287870	36287871	THRAP3	0.301887	+	1	GTEX,SRA,TCGA
SH3D21_36308210	chr1	36308210	36308211	SH3D21	0.021140	+	1	GTEX,SRA,TCGA
GNL2_37583693	chr1	37583693	37583694	GNL2	0.252193	-	1	GTEX,SRA,TCGA
CCDC30_42541365	chr1	42541365	42541366	CCDC30	0.058216	+	1	GTEX,SRA,TCGA
CLDN19_42737544	chr1	42737544	42737545	CLDN19	0.112830	-	1	GTEX,SRA,TCGA
ERMAP_42828349	chr1	42828349	42828350	ERMAP	0.164292	+	1	GTEX,SRA,TCGA
CFAP57_43183589	chr1	43183589	43183590	CFAP57	0.245242	+	1	GTEX,SRA,TCGA
TIE1_43321614	chr1	43321614	43321615	TIE1	0.197738	+	1	GTEX,SRA,TCGA
RNF220_44632571	chr1	44632571	44632572	RNF220	0.038777	+	1	GTEX,SRA,TCGA
KIF2C_44746390	chr1	44746390	44746391	KIF2C	0.128274	+	1	GTEX,SRA,TCGA
PLK3_44803598	chr1	44803598	44803599	PLK3	0.431979	+	1	GTEX,SRA,TCGA
MAST2_46028766	chr1	46028766	46028767	MAST2	0.058101	+	1	GTEX,SRA,TCGA
STIL_47261262	chr1	47261262	47261263	STIL	0.180152	-	1	GTEX,SRA,TCGA
SLC5A9_48236024	chr1	48236024	48236025	SLC5A9	0.291290	+	2	GTEX,SRA,TCGA
SPATA6_48403372	chr1	48403372	48403373	SPATA6	0.046892	-	1	GTEX,SRA
OSBPL9_51776831	chr1	51776831	51776832	OSBPL9	0.018831	+	1	GTEX,SRA,TCGA
NRDC_51815381	chr1	51815381	51815382	NRDC	0.157664	-	1	GTEX,SRA,TCGA
BTF3L4_52060662	chr1	52060662	52060663	BTF3L4	0.043862	+	1	GTEX,SRA,TCGA
ZFYVE9_52337218	chr1	52337218	52337219	ZFYVE9	0.148089	+	1	GTEX,SRA,TCGA
ORC1_52388235	chr1	52388235	52388236	ORC1	0.123289	-	1	GTEX,SRA,TCGA
ORC1_52394553	chr1	52394553	52394554	ORC1	0.049055	-	1	GTEX,SRA,TCGA
PRPF38A_52405312	chr1	52405312	52405313	PRPF38A	0.231910	+	1	GTEX,SRA,TCGA
SCP2_52960165	chr1	52960165	52960166	SCP2	0.065493	+	1	GTEX,SRA,TCGA
LEXM_54814568	chr1	54814568	54814569	LEXM	0.062121	+	1	GTEX,SRA,TCGA
PRKAA2_56706468	chr1	56706468	56706469	PRKAA2	0.323514	+	1	GTEX,SRA,TCGA
MYSM1_58699622	chr1	58699622	58699623	MYSM1	0.130954	-	1	GTEX,SRA,TCGA
UBE2U_64204782	chr1	64204782	64204783	UBE2U	0.039540	+	1	GTEX,SRA,TCGA
CACHD1_64660395	chr1	64660395	64660396	CACHD1	0.251460	+	1	GTEX,SRA,TCGA
LEPR_65613041	chr1	65613041	65613042	LEPR	0.134957	+	1	GTEX,SRA,TCGA
IL12RB2_67387206	chr1	67387206	67387207	IL12RB2	0.081276	+	1	GTEX,SRA,TCGA
GNG12_67705744	chr1	67705744	67705745	GNG12	0.096240	-	1	GTEX,SRA,TCGA
DIRAS3_68047890	chr1	68047890	68047891	DIRAS3	0.102225	-	1	GTEX,SRA,TCGA
DEPDC1_68486141	chr1	68486141	68486142	DEPDC1	0.008422	-	1	GTEX,SRA,TCGA
ANKRD13C_70293503	chr1	70293503	70293504	ANKRD13C	0.183496	-	1	GTEX,SRA,TCGA
SLC44A5_75213563	chr1	75213563	75213564	SLC44A5	0.059889	-	1	GTEX,SRA,TCGA
CLCA1_86475523	chr1	86475523	86475524	CLCA1	0.141047	+	1	GTEX,SRA
GBP7_89134799	chr1	89134799	89134800	GBP7	0.412275	-	1	GTEX,SRA,TCGA
TGFBR3_91713529	chr1	91713529	91713530	TGFBR3	0.177995	-	1	GTEX,SRA,TCGA
RPAP2_92300501	chr1	92300501	92300502	RPAP2	0.068956	+	1	GTEX,SRA,TCGA
FRRS1_99749001	chr1	99749001	99749002	FRRS1	0.278357	-	1	GTEX,SRA,TCGA
EXTL2_100876032	chr1	100876032	100876033	EXTL2	0.242331	-	1	GTEX,SRA,TCGA
COL11A1_102895364	chr1	102895364	102895365	COL11A1	0.076896	-	1	GTEX,SRA,TCGA
VAV3_107754740	chr1	107754740	107754741	VAV3	0.320036	-	1	GTEX,SRA,TCGA
MYBPHL_109295612	chr1	109295612	109295613	MYBPHL	0.169977	-	1	GTEX,SRA,TCGA
CAPZA1_112651619	chr1	112651619	112651620	CAPZA1	0.224126	+	2	GTEX,SRA,TCGA
MAGI3_113656743	chr1	113656743	113656744	MAGI3	0.037869	+	1	GTEX,SRA,TCGA
TTF2_117097349	chr1	117097349	117097350	TTF2	0.029710	+	1	GTEX,SRA,TCGA
HMGCS2_119759611	chr1	119759611	119759612	HMGCS2	0.058177	-	1	GTEX,SRA,TCGA
REG4_119799576	chr1	119799576	119799577	REG4	0.042659	-	1	GTEX,SRA,TCGA
NOTCH2_119922446	chr1	119922446	119922447	NOTCH2	0.094577	-	1	GTEX,SRA,TCGA
NOTCH2_119950079	chr1	119950079	119950080	NOTCH2	0.175507	-	1	GTEX,SRA
ITGA10_145897747	chr1	145897747	145897748	ITGA10	0.003204	-	1	GTEX,SRA,TCGA
PSMB4_151399808	chr1	151399808	151399809	PSMB4	0.234659	+	1	GTEX,SRA,TCGA
RIIAD1_151724237	chr1	151724237	151724238	RIIAD1	0.103150	+	1	GTEX,SRA,TCGA
RORC_151815879	chr1	151815879	151815880	RORC	0.426189	-	1	GTEX,SRA,TCGA
CRCT1_152515360	chr1	152515360	152515361	CRCT1	0.149591	+	1	GTEX,SRA,TCGA
PGLYRP3_153299639	chr1	153299639	153299640	PGLYRP3	0.701094	-	1	GTEX,SRA,TCGA
NUP210L_154054407	chr1	154054407	154054408	NUP210L	0.036406	-	1	GTEX,SRA,TCGA
UBE2Q1_154554515	chr1	154554515	154554516	UBE2Q1	0.402792	-	1	GTEX,SRA,TCGA
EFNA1_155128175	chr1	155128175	155128176	EFNA1	0.064928	+	1	GTEX,SRA,TCGA
EFNA1_155128506	chr1	155128506	155128507	EFNA1	0.058047	+	1	GTEX,SRA,TCGA
TRIM46_155178849	chr1	155178849	155178850	TRIM46	0.079180	+	1	GTEX,SRA,TCGA
GBA_155236469	chr1	155236469	155236470	GBA	0.274611	-	1	GTEX,SRA,TCGA
SMG5_156273563	chr1	156273563	156273564	SMG5	0.037662	-	1	GTEX,SRA,TCGA
KIRREL_158080502	chr1	158080502	158080503	KIRREL	0.223144	+	1	GTEX,SRA,TCGA
