candidate_group	GENE	EVENT	COORD	intron_length	chr	strand	decoyID	start	end	decoy_coord_1based	decoy_distance_from_canonical_5ss	intron_start	intron_end	mESC_lift_Chr	mESC_lift_Start	mESC_lift_End	mESC_ir_Chr	mESC_ir_Start	mESC_ir_End	mESC_ir_gene	mESC_IRratio_mean	mESC_IR_overlap_bp	psi_count_ge10	psi_count_ge10_brain	brain_retained	brain_tissues_PSI_ge10	SpliceAI_score	phastCons100_mean	phastCons470_mean	MaxEnt_decoy	MaxEnt_canonical
Hs_Brain_IR							ANK3_60068144																								
Hs_Brain_IR	DMD	HsaINT1011252	chrX:31121931-31126641	4711	chrX	-	DMD_31126062	31126062	31126063	31126063	578	31121931	31126641	chrX	85201673	85201912	chrX	85190703	85202470	Dmd	0.00520479	240	33	11	TRUE	Astrocytes;Cerebellum_a;Cerebellum_c;Embr_Cortex_13_17wpc;Embr_Forebrain_St17_20;Frontal_Gyrus_old;Neuroblastoma;NPC_a;Oligodendrocytes;Sup_Temporal_Gyrus;Whole_Brain_b	0.440367	0.255195	0.302195	9.65	7.15
Hs_Brain_IR							DOCK11_118683620																								
Mouse_IR	GPC2	HsaINT0071009	chr7:100176366-100177033	668	chr7	-	GPC2_100176365	100176365	100176366	100176366	667	100176366	100177033	chr5	138279162	138279269	chr5	138278998	138279648	Gpc2	0.599368	108	29	7	TRUE	Astrocytes;Cerebellum_a;Cerebellum_c;Cortex;Frontal_Gyrus_old;Oligodendrocytes;Retina_peripheral	0.268482	0.281102	0.378696	9.6	10.07
Mouse_IR	LMAN2L	HsaINT0092350	chr2:96733602-96734408	807	chr2	-	LMAN2L_96734115	96734115	96734116	96734116	292	96733602	96734408	chr1	36439115	36439198	chr1	36438833	36439608	Lman2l	0.114623066666667	84	24	2	FALSE	Astrocytes;Oligodendrocytes	0.295127	0.267335	0.393447	7.23	8.35
Hs_Brain_IR	RANBP17	HsaINT0137124	chr5:171293982-171295886	1905	chr5	+	RANBP17_171294168	171294168	171294169	171294169	187	171293982	171295886	chr11	33218312	33218694	chr11	33217420	33219170	Ranbp17	0.123132666666667	383	35	10	TRUE	Cerebellum_a;Cerebellum_c;Cortex;Frontal_Gyrus_old;Frontal_Gyrus_young;Neurons;Oligodendrocytes;Retina_a;Sup_Temporal_Gyrus;Whole_Brain_b	0.289553	0.391261	0.377433	9.88	-21.93
Mouse_IR							RNF167_4941442																								
Hs_Brain_IR	SCN8A	HsaINT0145956	chr12:51780772-51786541	5770	chr12	+	SCN8A_51782986	51782986	51782987	51782987	2215	51780772	51786541	chr15	101024384	101024627	chr15	101018525	101029577	Scn8a	0	244	56	13	TRUE	Astrocytes;Cortex;Embr_Cortex_13_17wpc;Embr_Forebrain_9_12wpc;Embr_Forebrain_St13_14;Embr_Forebrain_St17_20;Embr_Forebrain_St22_23;Neuroblastoma;Neurons;Neurons_Cortex_KCl_0h;NPC_a;Oligodendrocytes;Sup_Temporal_Gyrus	0.256994	0.244058	0.316514	10.53	-6.53
Hs_Brain_IR							THRAP3_36287870																								
Hs_Brain_IR	TNS2	HsaINT0165694	chr12:53047064-53051854	4791	chr12	+	TNS2_53047372	53047372	53047373	53047373	309	53047064	53051854	chr15	102103008	102103196	chr15	102100553	102104529	Tns2	0	189	122	24	TRUE	Astrocytes;Brain_Endoth;Cerebellum_a;Cerebellum_c;Cortex;Embr_Cortex_13_17wpc;Embr_Forebrain_9_12wpc;Embr_Forebrain_St13_14;Embr_Forebrain_St17_20;Embr_Forebrain_St22_23;Frontal_Gyrus_old;Frontal_Gyrus_young;Neuroblastoma;Neurons_Cortex_KCl_0h;Neurons_Cortex_KCl_1h;Neurons_Cortex_KCl_6h;NPC_a;NPC_b;Oligodendrocytes;Retina_a;Retina_macular;Retina_peripheral;Sup_Temporal_Gyrus;Whole_Brain_b	0.479269	0.222454	0.341611	10.67	-41.1
Hs_Brain_IR	TSPOAP1	HsaINT0019306	chr17:58323546-58324810	1265	chr17	-	TSPOAP1_58324381	58324381	58324382	58324382	428	58323546	58324810	chr11	87764583	87764778	chr11	87764384	87765627	Tspoap1	0	196	71	13	TRUE	Cerebellum_a;Cerebellum_c;Cortex;Embr_Cortex_13_17wpc;Embr_Forebrain_9_12wpc;Embr_Forebrain_St13_14;Embr_Forebrain_St17_20;Embr_Forebrain_St22_23;Neuroblastoma;Retina_a;Retina_macular;Retina_peripheral;Whole_Brain_b	0.687764	0.121836	0.318568	8.66	8.7
Hs_Brain_IR							ZDHHC23_113948461																								
