candidate_group	GENE	EVENT	COORD	intron_length	chr	strand	decoyID	start	end	decoy_coord_1based	decoy_distance_from_canonical_5ss	intron_start	intron_end	mESC_lift_Chr	mESC_lift_Start	mESC_lift_End	mESC_ir_Chr	mESC_ir_Start	mESC_ir_End	mESC_ir_gene	mESC_IRratio_mean	mESC_IR_overlap_bp	psi_count_ge10	psi_count_ge10_brain	brain_retained	brain_tissues_PSI_ge10	SpliceAI_score	phastCons100_mean	phastCons470_mean	MaxEnt_decoy	MaxEnt_canonical
Hs_Brain_IR	ANK3	HsaINT1003659	chr10:60068010-60068636	627	chr10	-	ANK3_60068144	60068144	60068145	60068145	491	60068010	60068636	chr10	69993877	69993956	chr10	69993763	69994371	Ank3	0.00802783333333333	80	32	14	TRUE	Brain_Endoth;Cerebellum_a;Cerebellum_c;Cortex;Embr_Forebrain_9_12wpc;Embr_Forebrain_St22_23;Frontal_Gyrus_old;Frontal_Gyrus_young;Neurons;Neurons_Cortex_KCl_0h;Neurons_Cortex_KCl_1h;Neurons_Cortex_KCl_6h;Retina_macular;Whole_Brain_b	0.02037	0.815799	0.811805	4.94	7.54
Hs_Brain_IR	DMD	HsaINT1011252	chrX:31121931-31126641	4711	chrX	-	DMD_31126062	31126062	31126063	31126063	578	31121931	31126641	chrX	85201673	85201912	chrX	85190703	85202470	Dmd	0.00520479	240	33	11	TRUE	Astrocytes;Cerebellum_a;Cerebellum_c;Embr_Cortex_13_17wpc;Embr_Forebrain_St17_20;Frontal_Gyrus_old;Neuroblastoma;NPC_a;Oligodendrocytes;Sup_Temporal_Gyrus;Whole_Brain_b	0.440367	0.255195	0.302195	9.65	7.15
Hs_Brain_IR	DOCK11	HsaINT0051039	chrX:118683230-118685687	2458	chrX	+	DOCK11_118683620	118683620	118683621	118683621	391	118683230	118685687	chrX	36073790	36073938	chrX	36069987	36076098	Dock11	0.0473536666666667	149	106	21	TRUE	Astrocytes;Cerebellum_a;Cerebellum_c;Cortex;Embr_Cortex_13_17wpc;Embr_Forebrain_9_12wpc;Embr_Forebrain_St13_14;Embr_Forebrain_St17_20;Embr_Forebrain_St22_23;Frontal_Gyrus_old;Frontal_Gyrus_young;Microglia;Neuroblastoma;Neurons_Cortex_KCl_0h;Neurons_Cortex_KCl_1h;Neurons_Cortex_KCl_6h;NPC_a;NPC_b;Oligodendrocytes;Sup_Temporal_Gyrus;Whole_Brain_b	0.104723	0.130909	0.180393	6.43	-10.78
Mouse_IR	GPC2	HsaINT0071009	chr7:100176366-100177033	668	chr7	-	GPC2_100176365	100176365	100176366	100176366	667	100176366	100177033	chr5	138279162	138279269	chr5	138278998	138279648	Gpc2	0.599368	108	29	7	TRUE	Astrocytes;Cerebellum_a;Cerebellum_c;Cortex;Frontal_Gyrus_old;Oligodendrocytes;Retina_peripheral	0.268482	0.281102	0.378696	9.6	10.07
Mouse_IR	LMAN2L	HsaINT0092350	chr2:96733602-96734408	807	chr2	-	LMAN2L_96734115	96734115	96734116	96734116	292	96733602	96734408	chr1	36439115	36439198	chr1	36438833	36439608	Lman2l	0.114623066666667	84	24	2	FALSE	Astrocytes;Oligodendrocytes	0.295127	0.267335	0.393447	7.23	8.35
Hs_Brain_IR	RANBP17	HsaINT0137124	chr5:171293982-171295886	1905	chr5	+	RANBP17_171294168	171294168	171294169	171294169	187	171293982	171295886	chr11	33218312	33218694	chr11	33217420	33219170	Ranbp17	0.123132666666667	383	35	10	TRUE	Cerebellum_a;Cerebellum_c;Cortex;Frontal_Gyrus_old;Frontal_Gyrus_young;Neurons;Oligodendrocytes;Retina_a;Sup_Temporal_Gyrus;Whole_Brain_b	0.289553	0.391261	0.377433	9.88	-21.93
Mouse_IR	RNF167	HsaINT0141412	chr17:4941158-4942340	1183	chr17	+	RNF167_4941442	4941442	4941443	4941443	285	4941158	4942340	chr11	70648548	70648591	chr11	70648110	70649220	Rnf167	0.226389666666667	44	11	4	TRUE	Astrocytes;Brain_Endoth;Microglia;Oligodendrocytes	0.021249	0.0413331	0.0463493	-0.88	-19.17
Hs_Brain_IR	SCN8A	HsaINT0145956	chr12:51780772-51786541	5770	chr12	+	SCN8A_51782986	51782986	51782987	51782987	2215	51780772	51786541	chr15	101024384	101024627	chr15	101018525	101029577	Scn8a	0	244	56	13	TRUE	Astrocytes;Cortex;Embr_Cortex_13_17wpc;Embr_Forebrain_9_12wpc;Embr_Forebrain_St13_14;Embr_Forebrain_St17_20;Embr_Forebrain_St22_23;Neuroblastoma;Neurons;Neurons_Cortex_KCl_0h;NPC_a;Oligodendrocytes;Sup_Temporal_Gyrus	0.256994	0.244058	0.316514	10.53	-6.53
Hs_Brain_IR	THRAP3	HsaINT0166896	chr1:36287271-36289059	1789	chr1	+	THRAP3_36287870	36287870	36287871	36287871	600	36287271	36289059	chr4	126179422	126179514	chr4	126178558	126179911	Thrap3	0.402277666666667	93	27	9	TRUE	Brain_Endoth;Cerebellum_a;Embr_Forebrain_9_12wpc;Embr_Forebrain_St13_14;Embr_Forebrain_St17_20;Frontal_Gyrus_old;Frontal_Gyrus_young;Microglia;Neurons_Cortex_KCl_6h	0.301887	0.439843	0.499477	11.45	-24.5
Hs_Brain_IR	TNS2	HsaINT0165694	chr12:53047064-53051854	4791	chr12	+	TNS2_53047372	53047372	53047373	53047373	309	53047064	53051854	chr15	102103008	102103196	chr15	102100553	102104529	Tns2	0	189	122	24	TRUE	Astrocytes;Brain_Endoth;Cerebellum_a;Cerebellum_c;Cortex;Embr_Cortex_13_17wpc;Embr_Forebrain_9_12wpc;Embr_Forebrain_St13_14;Embr_Forebrain_St17_20;Embr_Forebrain_St22_23;Frontal_Gyrus_old;Frontal_Gyrus_young;Neuroblastoma;Neurons_Cortex_KCl_0h;Neurons_Cortex_KCl_1h;Neurons_Cortex_KCl_6h;NPC_a;NPC_b;Oligodendrocytes;Retina_a;Retina_macular;Retina_peripheral;Sup_Temporal_Gyrus;Whole_Brain_b	0.479269	0.222454	0.341611	10.67	-41.1
