locus_id	gene	chrom	locus_start	locus_end	locus_strand	splice_score	snaptron_id	intron_start	intron_end	samples_count	coverage_sum	coverage_avg	coverage_median	left_annotated	right_annotated	source_dataset_id	annotated	junction_type
KLHL17_964347	KLHL17	chr1	964347	964348	+	0.063502	67702	964168	964348	8935	40114	4.49	3.0	aC19,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
KLHL17_964347	KLHL17	chr1	964347	964348	+	0.063502	67708	964181	964348	8599	33491	3.895	3.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
AGRN_1042747	AGRN	chr1	1042747	1042748	+	0.025351	75564	1042749	1043238	3527	8623	2.445	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
DVL1_1339812	DVL1	chr1	1339812	1339813	-	0.020732	114156	1339813	1340037	11285	847794	75.126	57.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
CCDC27_3753202	CCDC27	chr1	3753202	3753203	+	0.107973	237941	3753204	3754117	7	12	1.714	1.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
DFFB_3869603	DFFB	chr1	3869603	3869604	+	0.382597	242380	3868054	3869604	9484	52600	5.546	4.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	3ss
ESPN_6446379	ESPN	chr1	6446379	6446380	+	0.183238	265957	6446381	6448640	999	3792	3.796	2.0	cH38	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
GPR157_9105481	GPR157	chr1	9105481	9105482	-	0.018175	313194	9104635	9105485	9013	93053	10.324	5.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	3	1	5ss
CLSTN1_9740657	CLSTN1	chr1	9740657	9740658	-	0.004447	334486	9736043	9740657	736	958	1.302	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	sG19,sG38	3	1	5ss
CLSTN1_9740657	CLSTN1	chr1	9740657	9740658	-	0.004447	334645	9737555	9740657	545	708	1.299	1.0	aC19,cG19,cG38,cH38,gC19,gC24,gC25,gC26,gC29,gC33,kG19,kG38,mG19,mG38,rG19,rG38,sG19,sG38,vG19	sG19,sG38	3	1	5ss
